表,行粒度,字段,类型,必填,冻结时点,规则或口径,缺失处理
execution,每个候选每个执行日每只目标或旧仓,candidate_id,枚举,是,信号日冻结时,B0_BASE或C_BAL或C_OFF,候选不得共用虚拟现金或头寸
execution,每个候选每个执行日每只目标或旧仓,execution_date,日期,是,信号冻结时,signal_date之后首个交易日,不得改用信号日收盘
execution,每个候选每个执行日每只目标或旧仓,target_weight,数值,是,信号冻结时,Top20等权5%并受旧仓锁资和无法买入现金约束,目标券不足20只则未分配留现金
execution,每个候选每个执行日每只目标或旧仓,open_price_observed,数值,条件必填,执行日开盘后,使用公开可核验开盘价,无真实开盘则不得以收盘或前值替代
execution,每个候选每个执行日每只目标或旧仓,action,枚举,是,执行日开盘后,buy或sell或hold_locked或unfilled_cash或risk_exit,不可成交必须显式记录
execution,每个候选每个执行日每只目标或旧仓,one_way_cost,数值,是,执行日,成交金额单边10bp,不得按短期结果修改
execution,每个候选每个执行日每只目标或旧仓,execution_note,文本,否,执行日,停牌涨跌停开盘缺失或来源冲突等,关键异常无说明则该笔无效
portfolio,每个候选每个交易日,candidate_id,枚举,是,每日收盘,B0_BASE或C_BAL或C_OFF,候选净值必须独立
portfolio,每个候选每个交易日,nav,数值,是,每日收盘,按实际虚拟持仓现金成本风险退出和最后可见估值计算,缺失不得跨日插值冒充
portfolio,每个候选每个交易日,cash_weight,数值,是,每日收盘,未买入或风险退出资金留现金至下一固定调仓,不得用过期榜单追买
portfolio,每个候选每个交易日,locked_weight,数值,是,每日收盘,无开盘旧仓继续占资,不得释放后重复购买新仓
portfolio,每个候选每个交易日,risk_events,文本列表,是,每日收盘,强赎评级风险警示重整兑付退市等首次观察与处理结果,无事件填空列表而非缺失
benchmark,每个交易日每个基准,benchmark_id,枚举,是,每日收盘,CB_ELIGIBLE_EW或CSI300_TR或SMALLCAP_TRUE,不得把可投资池等权与全体系沪深300全收益混称
benchmark,每个交易日每个基准,return_or_nav,数值,条件必填,每日收盘,共同交易日同口径保存,SMALLCAP_TRUE在果仁真净值取得前保持缺失并明确待办
review,每个有效信号点,valid_observation_no,整数,是,期末,只对data_status为valid的信号递增,无效期不得补计样本数
review,每个有效信号点,governance_stage,枚举,是,期末,1至13点仅验数据与执行；14至35点可描述但不选胜者；36点后才允许前瞻初评,阶段不足禁止用短期收益改参数
review,每个有效信号点,parameter_change,布尔,是,期末,固定为false；若确需变更则新建协议版本并从零计数,同版本出现true则后续不可与旧样本合并
