审计层,对象,公开日,转债代码,候选命中或覆盖,硬状态判断,更早状态或增量影响,结论,证据边界,来源
面值退市风险,岭南股份,2024-06-22,128044,风险公开后两候选原始命中0次,发行人首次明确股票及可转债可能终止上市,比旧兑付风险时点前移46天,正式硬日期改为2024-06-22,不因后来实际违约把日期提前到公告前,https://static.cninfo.com.cn/finalpage/2024-06-22/1220427747.PDF
明确兑付风险,龙大美食,2026-06-06,128119,风险公开后两候选原始命中0次,发行人明确提示可能无法按期兑付本息,正股已于2025-04-30进入风险警示区间,不改变当前候选选择但保留为独立事件事实,采用第一次风险提示日不采用2026-07后续确认日,https://static.cninfo.com.cn/finalpage/2026-06-06/1225355870.PDF
软风险反例,蓝盾股份被申请破产清算,2021-07-30,123015,F02其后曾命中1次,仅为被申请且未识别到法院受理发行人清算,2022-04-29进入ST后才形成无歧义硬状态,不把申请标题事后升级为硬排除,若后续取得更早法院受理原文再按公开日修订,https://static.cninfo.com.cn/finalpage/2021-07-30/1210612796.PDF
软风险反例,其他主体重整或清算,2018-01-01至2026-07-20,,中金岭南等大量标题命中,发行人作为投资人或涉及子公司股东客户不直接排除转债,无发行人自身受理或明确偿付异常则不设硬日期,避免关键词过滤误杀健康发行人,仍可保留为软诊断但不承担收益排名,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
发行人级差集合同,622个候选发行人乘三关键词,2018-01-01至2026-07-20,,1866个全类别查询全部完成且错误0,得到1777份去重公告和193个有命中发行人,与全局目录按announcementId对齐而非按带时间参数链接字符串对齐,候选级检索完整性关通过,单线程0.8秒节流并每25次断点保存避免限流后失去进度,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
发行人级差集结果,重整及终止上市,2018-01-01至2026-07-20,,发行人级分别431份和225份,按announcementId与全局同关键词目录完全一致且新增0份,两类全局分年检索没有候选遗漏,标题仍须对象及阶段语义裁决,完全一致只证明目录覆盖不证明标题都是硬风险,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
发行人级差集结果,宽关键词兑付,2018-01-01至2026-07-20,,1121份中有1108份不在原窄负面词目录,绝大多数是正常本息兑付或其他融资工具正常到期,负面短语复核得到7份且只有正邦和已知岭南属于发行人自身偿付异常,宽词补出正邦重大商票逾期但不能机械把1108份全部设为风险,精工钢构实控人企业及杭锅灵康购买产品逾期属于其他主体,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
实际到期债务未清偿,正邦科技,2022-06-09,128114,F02-252其后原始命中9期且三因子命中6期,发行人及子公司因流动资金紧张发生商票逾期未兑付且余额合计54200.50万元,早于2023-05-05风险警示和2023-07-21重整受理,新增硬日期为首次市场公开日2022-06-09,仅对重大且已发生的发行人自身到期债务未清偿扩展硬状态；持有他人逾期票据不是发行人违约,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=002157&announcementId=1213646074&orgId=9900003434&announcementTime=2022-06-09
最终并集复算,F02-252,2019-01-22至2026-07-13,,"此前硬并集24.8926%；加入正邦2022-06-09后为24.8872%","四阶段正超额；近似日频回撤约-15.16%",年化再下降约0.0054个百分点且风险退出增至83次,候选保留且偏均衡防守定位不变,候选级评级风险警示重整兑付退市检索首轮完成但仍非生产级逐日信用数据库,
最终并集复算,经典双低+F02-252+低余额,2019-01-22至2026-07-13,,"此前硬并集29.6799%；加入正邦2022-06-09后为29.5443%","四阶段正超额；近似日频回撤约-18.83%",年化再下降约0.1356个百分点且风险退出增至115次,候选保留且偏进攻高维护定位不变,三因子对新增信用事实的敏感性更高不把过滤后的收益解释为信用alpha,
剩余验证,生产级逐日信用状态,截至2026-07-20,,候选622发行人目录差集已完成,不再存在本轮既定三关键词的发行人级检索缺口,未来仍须在每个信号日记录首次公开时间和新增硬事件并保留人工异常队列,候选级首轮通过而非永远完备,不采购付费平台替代公开事实核验,http://www.cninfo.com.cn/new/commonUrl/pageOfSearch?url=disclosure/list/search
